
13 Aug 2021 - 10:36:25;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 28ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 654 Bytes;Download: 518 Bytes
13 Aug 2021 - 10:36:26;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 24ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 53% used;Upload: 1012 Bytes;Download: 894 Bytes
13 Aug 2021 - 10:36:27;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 29ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 598 Bytes;Download: 452 Bytes
13 Aug 2021 - 10:36:28;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 6.21 KB;Download: 946 Bytes
13 Aug 2021 - 10:36:29;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 712 Bytes;Download: 873 Bytes
13 Aug 2021 - 10:36:30;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 27ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 646 Bytes;Download: 513 Bytes
13 Aug 2021 - 10:36:31;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 33ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 658 Bytes;Download: 521 Bytes
13 Aug 2021 - 10:36:32;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 658 Bytes;Download: 521 Bytes
13 Aug 2021 - 10:36:33;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 63ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 591 Bytes;Download: 442 Bytes
13 Aug 2021 - 10:36:34;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 35ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 653 Bytes;Download: 518 Bytes
13 Aug 2021 - 10:36:36;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: 1% used;RAM: 53% used;Upload: 591 Bytes;Download: 443 Bytes
13 Aug 2021 - 10:36:37;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: 1% used;RAM: 53% used;Upload: 591 Bytes;Download: 443 Bytes
13 Aug 2021 - 10:36:38;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 602 Bytes;Download: 441 Bytes
13 Aug 2021 - 10:36:40;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 76ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 982 Bytes;Download: 252 Bytes
13 Aug 2021 - 10:36:40;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 76ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 982 Bytes;Download: 252 Bytes
